Fecha y Hora de actualización,Fallecidos,Heridos,Viviendas destruidas,Bien público afectado,Bien público destruido,Puentes afectados,Vías destruidas,Productores afectados por pérdidas agrícolas,Productores afectados por pérdidas en animales,Viviendas afectadas,Archivo,Personas afectadas,Personas damnificadas,Animales con afectación,Animales muertos
"viernes, 12 de febrero de 2021 – 18:25:59",,1,,1,,2,,,,20,Informe-de-Situacion-No-1-Chunchi-12022021.pdf,,,,
"lunes, 01 de marzo de 2021 – 20:02:50 Informe No. 10",,2,30,4,1,2,1,32,34,38,Informe-de-Situacion-No-10-Chunchi-01032021.pdf,625,89,718,689
"sábado, 13 de febrero de 2021 – 11:39:44",,2,,1,,2,,,,23,Informe-de-Situacion-No-2-Chunchi-13022021.pdf,,,,
"domingo, 14 de febrero de 2021 – 17:05:37",,2,16,1,1,2,,20,7,,Informe-de-Situacion-No-3-Chunchi-14022021-2.pdf,,,100,150
"lunes, 15 de febrero de 2021 – 16:23:47",,2,21,3,1,2,,20,7,1,Informe-de-Situacion-No-4-Chunchi-15022021.pdf,,,100,150
"martes, 16 de febrero de 2021 – 17:48:22",,2,21,3,1,2,,20,7,1,Informe-de-Situacion-No-5-Chunchi-16022021.pdf,,,100,150
"miércoles, 17 de febrero de 2021 – 19:00:03",,2,30,4,1,,,20,7,38,Informe-de-Situacion-No-6-Chunchi-17022021.pdf,166,,100,150
"jueves, 18 de febrero de 2021 – 14:12:44",,2,30,4,1,,,20,7,38,Informe-de-Situacion-No-7-Chunchi-18022021.pdf,166,,100,150
"viernes, 19 de febrero de 2021 – 16:21:16",,2,30,4,1,,,20,7,38,Informe-de-Situacion-No-8-Chunchi-19022021.pdf,166,,100,150
"martes, 23 de febrero de 2021 – 17:26:22",,2,30,4,1,,,32,34,38,Informe-de-Situacion-No-9-Chunchi-23022021-1.pdf,166,,718,689
